game_id,target,value,reason
TRKR1/450120,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450120,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450122,winner_side,BLUE,team_totals
TRKR1/450122,first_dragon_side,BLUE,firstdragon_flags
TRKR1/450122,more_dragons_side,,missing_dragon_count
TRKR1/450122,first_four_dragon_side,,missing_source_count
TRKR1/450122,dragon_soul_side,N/A,system_not_available
TRKR1/450122,elder_dragon_side,N/A,system_not_available
TRKR1/450122,first_baron_side,BLUE,team_totals
TRKR1/450122,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450122,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440130,winner_side,BLUE,team_totals
TRKR1/440130,first_dragon_side,RED,firstdragon_flags
TRKR1/440130,more_dragons_side,,missing_dragon_count
TRKR1/440130,first_four_dragon_side,,missing_source_count
TRKR1/440130,dragon_soul_side,N/A,system_not_available
TRKR1/440130,elder_dragon_side,N/A,system_not_available
TRKR1/440130,first_baron_side,BLUE,team_totals
TRKR1/440130,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440130,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440131,winner_side,RED,team_totals
TRKR1/440131,first_dragon_side,RED,firstdragon_flags
TRKR1/440131,more_dragons_side,,missing_dragon_count
TRKR1/440131,first_four_dragon_side,,missing_source_count
TRKR1/440131,dragon_soul_side,N/A,system_not_available
TRKR1/440131,elder_dragon_side,N/A,system_not_available
TRKR1/440131,first_baron_side,RED,team_totals
TRKR1/440131,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440131,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440170,winner_side,RED,team_totals
TRKR1/440170,first_dragon_side,RED,firstdragon_flags
TRKR1/440170,more_dragons_side,,missing_dragon_count
TRKR1/440170,first_four_dragon_side,,missing_source_count
TRKR1/440170,dragon_soul_side,N/A,system_not_available
TRKR1/440170,elder_dragon_side,N/A,system_not_available
TRKR1/440170,first_baron_side,BLUE,team_totals
TRKR1/440170,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440170,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450212,winner_side,BLUE,team_totals
TRKR1/450212,first_dragon_side,BLUE,firstdragon_flags
TRKR1/450212,more_dragons_side,,missing_dragon_count
TRKR1/450212,first_four_dragon_side,,missing_source_count
TRKR1/450212,dragon_soul_side,N/A,system_not_available
TRKR1/450212,elder_dragon_side,N/A,system_not_available
TRKR1/450212,first_baron_side,BLUE,team_totals
TRKR1/450212,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450212,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450224,winner_side,BLUE,team_totals
